Area_name,Inner/_Outer_London,GLA_Population_Estimate_2017,GLA_Household_Estimate_2017,Population_density_(per_hectare)_2017,"Average_Age,_2017","Proportion_of_population_aged_0-15,_2015","Proportion_of_population_of_working-age,_2015","Proportion_of_population_aged_65_and_over,_2015",%_of_resident_population_born_abroad_(2015),Largest_migrant_population_by_country_of_birth_(2011),%_of_largest_migrant_population_(2011),Second_largest_migrant_population_by_country_of_birth_(2011),%_of_second_largest_migrant_population_(2011),Third_largest_migrant_population_by_country_of_birth_(2011),%_of_third_largest_migrant_population_(2011),%_of_population_from_BAME_groups_(2016),%_people_aged_3+_whose_main_language_is_not_English_(2011_Census),"Overseas_nationals_entering_the_UK_(NINo),_(2015/16)","New_migrant_(NINo)_rates,_(2015/16)",Largest_migrant_population_arrived_during_2015/16,Second_largest_migrant_population_arrived_during_2015/16,Third_largest_migrant_population_arrived_during_2015/16,Employment_rate_(%)_(2015),Male_employment_rate_(2015),Female_employment_rate_(2015),Unemployment_rate_(2015),Proportion_of_the_working-age_population_who_claim_out-of-work_benefits_(%)_(May-2016),%_working-age_with_a_disability_(2015),Proportion_of_working_age_people_with_no_qualifications_(%)_2015,Proportion_of_working_age_with_degree_or_equivalent_and_above_(%)_2015,"Gross_Annual_Pay,_(2016)",Gross_Annual_Pay_-_Male_(2016),Gross_Annual_Pay_-_Female_(2016),Modelled_Household_median_income_estimates_2012/13,%_of_employment_that_is_in_public_sector_(2014),Crime_rates_per_thousand_population_2014/15,Fires_per_thousand_population_(2014),"Median_House_Price,_2015","Average_Band_D_Council_Tax_charge_(�),_2015/16",New_Homes_(net)_2015/16_(provisional),"Homes_Owned_outright,_(2014)_%","Being_bought_with_mortgage_or_loan,_(2014)_%","Rented_from_Local_Authority_or_Housing_Association,_(2014)_%","Rented_from_Private_landlord,_(2014)_%","%_of_area_that_is_Greenspace,_2005","Household_Waste_Recycling_Rate,_2014/15","Number_of_cars,_(2011_Census)","Number_of_cars_per_household,_(2011_Census)","%_of_adults_who_cycle_at_least_once_per_month,_2014/15","Average_Public_Transport_Accessibility_score,_2014",%_of_pupils_whose_first_language_is_not_English_(2015),%_children_living_in_out-of-work_households_(2015),"Male_life_expectancy,_(2012-14)","Female_life_expectancy,_(2012-14)",Teenage_conception_rate_(2014),Life_satisfaction_score_2011-14_(out_of_10),Worthwhileness_score_2011-14_(out_of_10),Happiness_score_2011-14_(out_of_10),Anxiety_score_2011-14_(out_of_10),Childhood_Obesity_Prevalance_(%)_2015/16,People_aged_17+_with_diabetes_(%),Mortality_rate_from_causes_considered_preventable_2012/14
Havering,Outer London,254300,104098,23,40.3,19.3,62.3,18.4,10.9,Ireland,1.1,India,1.0,Nigeria,0.9,15.7,4.6,2642.0,17.0,Romania,Lithuania,Poland,76.5,81.3,71.8,5.3,7.0,18.2,10.5,26.0,33398.0,36539.0,27455.0,36670.0,20.7,62.9,2.5,287500.0,1543.6,1010.0,35.2,33.9,17.2,13.8,59.3,32.4,117634.0,1.2,7.8,2.5,38.9,12.6,80.2,83.9,22.8,7.4,7.7,7.2,3.3,21.8,5.9,159.0
Hillingdon,Outer London,301000,110827,26,36.4,21.3,65.6,13.1,32.4,India,5.7,Pakistan,1.8,Ireland,1.6,45.7,18.8,6993.0,35.8,Romania,Poland,India,73.2,80.7,65.9,5.8,6.5,17.9,8.7,40.2,33508.0,36107.0,28778.0,37040.0,11.4,76.6,2.6,350000.0,1388.9,710.0,22.2,33.0,16.6,28.2,49.2,43.8,122486.0,1.2,12.3,2.4,29.6,12.3,80.4,83.9,20.5,7.4,7.7,7.3,3.5,21.1,6.4,170.0
Hounslow,Outer London,274200,105887,49,35.8,21.1,67.6,11.3,46.3,India,10.7,Poland,4.1,Pakistan,2.8,51.6,28.7,11336.0,62.4,Romania,India,Poland,74.2,84.7,63.2,4.3,6.1,17.6,6.5,45.5,31001.0,32235.0,27226.0,35330.0,11.7,79.2,2.1,355000.0,1355.8,480.0,25.5,27.0,19.2,28.3,39.6,34.5,94042.0,1.0,16.0,3.0,50.6,13.5,80.0,83.9,25.0,7.3,7.6,7.4,3.4,24.1,6.5,166.0
Islington,Inner London,231200,105038,156,34.8,15.9,75.3,8.8,36.6,Ireland,2.8,Turkey,1.8,United States,1.5,32.0,19.9,9302.0,54.3,Italy,France,Spain,72.6,78.2,67.0,4.5,10.5,14.6,6.2,62.7,36592.0,38284.0,.,39790.0,14.5,121.2,2.6,583000.0,1296.2,1030.0,15.4,23.5,35.3,25.5,12.4,32.8,38629.0,0.4,21.4,5.7,57.6,23.4,79.0,83.5,20.2,7.2,7.4,7.1,3.7,22.8,5.0,203.0
Kensington and Chelsea,Inner London,159000,80200,131,39.3,16.4,69.3,14.3,51.9,United States,5.0,France,4.2,Italy,2.7,30.0,28.0,7237.0,66.2,Italy,France,Spain,68.2,76.3,60.4,4.2,7.2,14.3,5.2,65.2,.,.,.,55620.0,14.7,120.9,2.0,1200000.0,1058.6,380.0,22.6,15.1,29.1,33.1,15.1,25.3,44536.0,0.6,16.9,5.8,45.8,11.0,83.3,86.4,14.2,7.6,7.8,7.6,3.1,18.6,4.2,136.0
Kingston upon Thames,Outer London,175400,69849,47,37.1,19.6,67.2,13.2,29.8,Sri Lanka,2.2,India,1.8,Korea (South),1.4,30.4,16.4,3205.0,27.5,Bulgaria,Romania,Poland,74.4,80.9,67.8,4.5,4.6,15.3,5.9,53.7,37979.0,41288.0,33400.0,43940.0,17.1,58.5,1.8,410000.0,1683.2,240.0,27.7,38.9,10.7,22.4,36.4,45.7,70421.0,1.1,20.4,2.9,39.3,7.7,82.0,84.6,15.3,7.3,7.7,7.4,3.3,16.9,4.9,141.0
Lambeth,Inner London,328900,144400,123,34.5,17.6,74.6,7.8,32.2,Jamaica,3.2,Portugal,2.3,Poland,2.3,41.5,20.3,11259.0,46.5,Spain,Italy,Poland,78.5,82.3,74.6,5.9,8.8,16.1,6.2,65.0,33441.0,35995.0,30173.0,38490.0,23.1,104.6,2.5,450000.0,1257.4,1350.0,10.9,24.9,29.8,34.4,17.3,28.3,66791.0,0.5,16.0,5.0,39.1,18.1,78.9,83.3,33.8,7.1,7.5,7.2,3.5,23.0,5.0,205.0
Lewisham,Inner London,303400,131076,86,35.0,20.6,70.1,9.3,34.9,Jamaica,3.5,Nigeria,3.5,Poland,1.6,47.4,16.5,7978.0,38.3,Romania,Spain,Italy,75.9,79.6,72.4,5.7,9.8,16.5,5.8,53.3,33157.0,.,31641.0,35900.0,24.8,77.0,2.2,352000.0,1378.7,1540.0,16.5,31.7,28.1,23.6,22.5,17.1,76507.0,0.7,16.1,4.1,40.9,17.9,79.0,83.4,31.3,7.2,7.6,7.3,3.4,23.6,6.1,191.0
Merton,Outer London,208100,84201,55,36.7,20.6,67.2,12.2,37.4,Poland,3.5,Sri Lanka,3.2,South Africa,2.8,36.7,21.1,6684.0,48.6,Poland,Romania,Bulgaria,78.8,86.3,71.4,4.6,5.7,13.5,4.7,58.0,33989.0,.,30722.0,41960.0,12.2,59.7,1.8,415000.0,1382.5,510.0,21.7,32.7,16.2,29.3,34.6,37.5,72777.0,0.9,14.4,3.4,34.2,10.4,80.4,84.2,19.7,7.3,7.5,7.1,3.6,19.2,5.6,162.0
Newham,Inner London,342900,119172,95,32.1,22.7,70.2,7.0,54.1,India,8.7,Bangladesh,6.8,Pakistan,5.3,73.1,41.4,25604.0,109.6,Romania,India,Bulgaria,66.2,75.0,56.1,9.1,8.0,12.7,11.0,43.4,27942.0,30141.0,24006.0,28780.0,23.1,90.8,2.5,305000.0,1240.5,1440.0,9.4,16.7,31.4,42.5,23.9,17.2,61092.0,0.6,5.6,3.9,58.8,15.4,78.5,83.0,22.5,7.1,7.4,7.2,3.4,27.6,7.6,193.0
Redbridge,Outer London,304200,110708,54,35.8,22.8,65.0,12.2,40.2,India,7.6,Pakistan,5.3,Sri Lanka,2.6,62.7,24.6,10534.0,54.6,Romania,India,Bulgaria,68.3,79.1,57.6,7.9,6.0,17.1,10.2,44.7,33483.0,39272.0,29204.0,36860.0,22.9,69.7,1.9,345000.0,1415.2,50.0,29.5,34.9,11.3,24.1,40.6,28.7,106339.0,1.1,11.8,3.0,66.5,9.8,80.9,84.6,18.5,7.3,7.6,7.3,3.2,23.3,7.9,142.0
Richmond upon Thames,Outer London,197300,85108,34,38.8,20.7,64.5,14.8,23.7,Ireland,1.8,South Africa,1.4,United States,1.4,15.7,10.4,2580.0,20.6,Italy,Poland,Romania,79.6,82.1,77.2,3.8,4.4,10.8,3.2,69.5,42076.0,.,38499.0,53470.0,11.2,56.3,1.5,575000.0,1582.4,510.0,30.9,38.4,8.7,21.9,50.8,41.2,84918.0,1.1,33.1,3.1,53.5,5.7,82.4,86.0,12.6,7.5,7.8,7.3,3.2,12.6,3.7,137.0
Southwark,Inner London,314300,134254,109,34.4,18.6,73.5,7.9,38.4,Nigeria,4.7,Jamaica,2.0,Ireland,1.7,45.7,19.6,12157.0,53.5,Spain,Italy,France,74.2,79.8,68.6,7.7,8.8,16.8,7.6,56.8,33864.0,36712.0,32696.0,37100.0,18.8,100.6,3.0,475000.0,1206.4,1380.0,10.1,26.3,37.2,26.4,24.9,34.6,60438.0,0.5,20.1,4.9,29.8,19.5,78.9,83.9,27.4,7.5,7.7,7.3,3.4,27.6,5.5,207.0
Sutton,Outer London,202600,85243,46,38.9,20.7,64.3,15.1,23.1,Sri Lanka,1.8,India,1.7,Ireland,1.2,25.0,10.0,2070.0,16.1,Romania,Bulgaria,Poland,78.2,86.2,70.5,5.5,5.1,14.4,4.3,42.5,32697.0,36636.0,28540.0,39940.0,18.9,55.9,2.0,320000.0,1486.0,390.0,25.7,41.8,11.6,20.5,32.0,37.6,91266.0,1.2,9.4,2.9,34.3,9.6,80.9,83.4,17.3,7.5,7.7,7.3,3.2,18.4,5.9,163.0
Tower Hamlets,Inner London,304000,123720,154,31.4,20.1,73.9,6.0,38.6,Bangladesh,15.3,India,1.5,China,1.4,54.0,34.2,17580.0,80.5,Italy,France,Spain,70.4,80.3,59.6,9.2,8.5,15.4,10.0,45.7,36429.0,38461.0,32657.0,34930.0,16.1,99.9,3.5,415000.0,1196.9,2390.0,7.0,19.8,41.6,31.5,15.2,28.1,43589.0,0.4,22.4,5.0,51.1,21.9,78.1,82.5,18.1,7.2,7.4,7.2,3.3,27.1,6.6,239.0
Waltham Forest,Outer London,276200,105981,71,35.1,21.8,67.9,10.3,37.2,Pakistan,4.9,Poland,3.2,Romania,1.7,49.9,26.4,15452.0,83.9,Romania,Bulgaria,Poland,73.1,76.8,69.4,5.4,8.1,15.5,11.6,42.6,30859.0,33126.0,.,33080.0,23.0,78.0,2.2,366569.0,1474.2,970.0,20.6,29.2,19.9,30.0,31.4,35.5,76217.0,0.8,12.9,3.6,62.4,15.1,79.4,83.8,26.2,7.2,7.5,7.1,3.1,26.3,6.4,185.0
Wandsworth,Inner London,321000,138149,94,35.0,17.8,72.8,9.3,32.8,Poland,2.2,South Africa,2.1,Ireland,1.9,29.7,17.4,9965.0,43.5,Italy,Spain,Australia,78.8,86.6,71.6,5.7,5.9,11.4,4.3,66.4,41064.0,.,36247.0,47480.0,21.4,72.6,1.8,557000.0,679.9,2740.0,17.7,30.5,19.3,31.2,26.9,20.7,89513.0,0.7,30.7,4.3,50.8,12.7,79.5,83.7,19.3,7.4,7.6,7.4,3.6,19.3,4.2,177.0
City of Westminster,Inner London,242100,118975,113,37.7,15.9,72.3,11.7,49.8,United States,3.6,France,2.6,Iraq,2.1,38.8,30.8,12613.0,72.0,Italy,France,Spain,65.6,68.6,62.3,8.8,7.6,17.5,4.5,63.6,42141.0,46627.0,39132.0,47510.0,13.4,212.4,4.0,920000.0,669.1,910.0,17.1,11.6,27.8,43.3,38.2,19.1,48810.0,0.5,15.8,6.5,52.6,15.8,82.3,86.3,15.4,7.3,7.5,7.1,3.4,24.9,4.4,162.0
London,,8835500,3601963,56,36.0,13.9,73.6,12.5,36.6,India,3.2,Poland,1.9,Ireland,1.6,42.5,22.1,318543.0,53.9,Romania,Italy,Spain,72.9,79.3,66.5,6.1,7.7,16.1,7.3,49.9,33776.0,36697.0,30979.0,39110.0,25.7,84.0,2.3,399950.0,.,.,22.0,27.9,23.1,26.8,35817.0,33.1,2664414.0,0.8,14.7,3.8,29.3,14.4,80.3,84.2,21.5,7.3,7.6,7.2,3.3,23.2,6.0,169.0
England,,55609600,.,.,40.0,19.0,63.3,17.7,14.6,India,1.3,Poland,1.1,Pakistan,0.9,.,8.0,752289.0,21.7,Romania,Poland,Italy,73.9,79.1,68.6,5.1,8.7,19.2,8.4,36.7,28503.0,30943.0,24965.0,.,24.5,65.7,.,209995.0,.,.,32.1,31.8,17.5,18.5,324054.0,43.7,25696833.0,1.1,14.7,.,15.7,14.0,79.5,83.2,22.8,7.5,7.7,7.3,3.0,19.8,6.2,183.0
United Kingdom,,65999100,.,.,40.1,18.8,63.3,17.8,13.3,.,.,.,.,.,.,.,.,823384.0,20.0,Romania,Poland,Italy,73.5,78.5,68.5,5.3,.,19.5,8.8,36.9,28213.0,30567.0,24833.0,30600.0,.,.,.,.,.,.,32.3,31.8,17.9,17.9,403797.0,.,30333100.0,1.1,.,.,.,18.2,.,.,.,7.5,7.7,7.3,3.0,-,n/a,.
